Parent Agency No.,No.,Name,Address,City,State,Latitude,Longitude,,
N1041,N1041FP,Living Bread Holiness Church,1116 Glenburnie Rd,New Bern,NC,35.136723,-77.062742,,
N1044,N1044FP,Martha's Mission Cupboard,901 Bay St,Morehead City,NC,34.723984,-76.713905,,
N1045,N1045MFP,Maysville Methodist Church,804 Foy Ave,Maysville,NC,34.9009469,-77.2272063,,
N1047,N1047FP,Mount Carmel ,2586 Onslow Dr,Jacksonville,NC,34.7646581,-77.4202825,,
N1047,N1047SK,Mount Carmel ,2586 Onslow Dr.,Jacksonville,NC,34.7646581,-77.4202825,,
N1047,N1047TF,Mount Carmel ,2542 Onslow Dr,Jacksonville,NC,34.76418,-77.4187593,,
N1050,N1050FP,Bear Paws Food Pantry,4200 Academic Dr,New Bern,NC,35.098932,-77.1149019,,
N1051,N1051FP,New Bern Older Adult Housing,3800 Lofland Way,New Bern,NC,35.125745,-77.103687,,
N1052,N1052SOF,The Meadows Apartments,3025 Kensington Park Dr,New Bern,NC,35.1419165,-77.0988751,,
N1053,N1053MFP,New Hope Community Outreach,504 Main St,Maysville,NC,34.9050095,-77.231549,,
N1054,N1054FP1,New Life Church,2911 Old Cherry Point Rd,New Bern,NC,35.060362,-77.013106,,
N1056,N1056FP,Onslow Community Outreach ,1210 Hargett St,Jacksonville,NC,34.7512646,-77.4121912,,
N1058,N1058FP,Open Door Management Inc,1675 Halltown Rd,Jacksonville,NC,34.7733767,-77.3557684,,
N1059,N1059FP,Pamlico County Fishes & Loaves,108 Straight Rd,Oriental,NC,35.0469173,-76.6897607,,
N1059,N1059MFP,Pamlico County Fishes & Loaves,1149 White Farm Rd ,Oriental,NC,35.0441994,-76.6791291,,
N1059,N1059TF,Pamlico County Fishes & Loaves,108 Staright Rd.,Oriental,NC,35.104503,-76.647109,,
N1060,N1060GH3,Spencer's Place Group Home,201 9th St,New Bern,NC,35.1029515,-77.0726421,,
N1062,N1062FP,Reelsboro United Christian Svc,51 Holland Dr,New Bern,NC,35.10575,-77.0477,,
N1063,N1063FP,Religious Community Services,919 George St,New Bern,NC,35.1149406,-77.0447717,,
N1064,N1064FP,Richlands Community Outreach,8701 Richlands Hwy PO Box 741,Richlands,NC,34.9013834,-77.55331,,
N1064,N1064MFP,Richlands Community Outreach,9103 Richlands Hwy,Richlands,NC,34.8921833,-77.5475767,,
N1065,N1065FP,Salvation Army Carteret Co,2800 Bridges St,Morehead City,NC,34.726487,-76.740904,,
N1067,N1067FP1,Salvation Army-Jacksonville,461 Center St,Jacksonville,NC,34.756223,-77.3859087,,
N1067,N1067MFP,Salvation Army-Jacksonville,121 Stillwood Dr. ,Jacksonville,NC,34.765552,-77.488271,,
N1069,N1069FP,Salvation Army-New Bern,1402 Rhem Ave,New Bern,NC,35.1063286,-77.0575055,,
N1071,N1071FP,White Oak Ecumenical Outreach Ministries ,724 W Corbett Ave,Swansboro,NC,34.6941522,-77.1319377,,
N1074,N1074FP,St. James Methodist Church,1007 Orange St,Newport,NC,34.786136,-76.8570886,,
N1076,N1076FP,Tabernacle Baptist Church,616 Broad St,New Bern,NC,35.1085058,-77.0432089,,
N1077,N1077FP,Feed Craven ,3317 Hwy 70 E,New Bern,NC,35.009006,-76.991464,,
N1078,N1078FP,The Storehouse Pantry,3114 Bridges St,Morehead City,NC,34.7273515,-76.7457823,,
N1080,N1080FP,Trenton Methodist Church,107 N Market St,Trenton,NC,35.064564,-77.353286,,
N1083,N1083FP,Vanceboro Christian Help Center,411 White St,Vanceboro,NC,35.2985897,-77.1521996,,
N1084,N1084FP,Wildwood Presbyterian Church,276 Wildwood Rd,Newport,NC,34.7489,-76.825446,,
N1090,N1090FP,Promise Place,1401 Park Ave,New Bern ,NC,35.1045897,-77.0572802,,
N1092,N1092FP,St. Julia AME Zion,112 Kerr St,Jacksonville,NC,34.7473883,-77.4331379,,
N1093,N1093FP,The Filling Station,221 Main St,Pollocksville,NC,35.0063599,-77.2206518,,
N1098,N1098FP,Jones County Community Hope,432 1st Avenue,Trenton,NC,35.0667067,-77.3570208,,
N1098,N1098TF,Jones County Community Hope,433 1st St,Trenton,NC,35.066879,-77.356914,,
N1099,N1099MFP,Angels on the Move ,208 Seattle Slew Dr,Havelock ,NC,34.924565,-76.809247,,
N1101,N1101SK,Shake The Ground Ministries-The Gathering Place,114 Trader Ave.,Havelock,NC,34.8834078,-76.9166048,,
N1105,N1105FP1,True Justice Intrnational New Bern Office ,802 Broad Streeet ,New Bern ,NC,35.03534,-76.691799,,
N1105,N1105FP2,True Justice Jacksonville Office ,825 Gum Brnach Rd,Jacksonville ,NC,34.771557,-77.40814,,
R1001,R1001FP,A Touch From Above Faith,654 Main St,Wilson Mills,NC,35.5822612,-78.353196,,
R1002,R1002FP,A Touch of the Father's Love,5193 Momeyer Way,Nashville,NC,35.961416,-78.057355,,
R1003,R1003FP,Abundant Life Ministries,500 Peachtree St,Rocky Mount,NC,35.949669,-77.797811,,
R1004,R1004AS,ADLA Inc,612 S Breazeale Ave,Mount Olive,NC,35.189867,-78.075249,,
R1006,R1006SON,Adult Day Health,1107 Fairview Rd,Rocky Mount,NC,35.94404,-77.7737,,
R1008,R1008OTH,Alice Aycock Poe Center,224 Sunnybrook Rd,Raleigh,NC,35.778772,-78.583468,,
R1010,R1010FP,Alliance of AIDS Services,1637 Old Louisburg Rd,Raleigh,NC,35.8030136,-78.6228183,,
R1011,R1011OTH,An Elegant Affair,3900 Barrett Dr,Raleigh,NC,35.8282993,-78.6310873,,
R1012,R1012FP,Angier Area Food Pantry,455 W Depot St,Angier,NC,35.5072657,-78.744219,,
R1013,R1013AS,Apex UMC,100 S Hughes St,Apex,NC,35.72973,-78.849466,,
R1014,R1014FP,Apostolic Faith Church ,300 Cedar St,Rocky Mount,NC,35.918839,-77.808749,,
R1020,R1020FP,Family Food Basket,6321 Old Raleigh Rd,Sims,NC,35.740512,-78.0622269,,
R1024,R1024FP,Benson Area Ministerial,1204 N Johnson St,Benson,NC,35.3891444,-78.5364495,,
R1026,R1026FP,Bethlehem Baptist Church,7215 Six Forks Rd,Raleigh,NC,35.8786101,-78.6460751,,
R1029,R1029FP,Blood of the Lamb Church,1100 The First Church Rd,Goldsboro,NC,35.395223,-77.970222,,
R1032,R1032SK,Bread Basket/Sanford Soup,140 E Chisholm St,Sanford,NC,35.4858158,-79.178845,,
R1033,R1033FP,Bread of Life Ministries,219 Maple Ave,Sanford,NC,35.4799729,-79.1723667,,
R1036,R1036OTH,Brown Bag Ministry,800 Lufkin Rd,Apex,NC,35.713831,-78.836223,,
R1037,R1037FP,Building 323,73 Wilder Rd,Middlesex,NC,35.753762,-78.256875,,
R1039,R1039FP,By Faith Church,4667 Evansdale Rd,Wilson,NC,35.6473619,-77.880573,,
R1041,R1041FP,Capital Pentacostal Church,1308 US-70,Garner,NC,35.6967452,-78.5855717,,
R1044,R1044FP,"Care and Share, Inc.",110 Industrial Dr,Louisburg,NC,36.1038188,-78.2902356,,
R1048,R1048FP,Catholic Parish Outreach,2013 N Raleigh Blvd,Raleigh,NC,35.808455,-78.603346,,
R1050,R1050SCH,Centennial Campus Middle,1900 Main Campus Dr,Raleigh,NC,35.7540967,-78.6937286,,
R1054,R1054AD,Chatham County Group Homes READD Center,251 Lynnbrook Dr,Siler City,NC,35.661265,-79.438707,,
R1054,R1054GH1,Chatham County Group Homes 1,320 Martin Luther King Blvd,Siler City,NC,35.728189,-79.462308,,
R1054,R1054GH2,Chatham County Group Homes 2,1011 W Fifth St,Siler City,NC,35.722023,-79.477635,,
R1054,R1054GH3,Chatham County Group Homes 3,813 Tanglewood Dr,Siler City,NC,35.7304737,-79.4790133,,
R1054,R1054GH4,Chatham County Group Homes Nooe House,225 E Watkins St,Siler City,NC,35.725432,-79.450517,,
R1054,R1054GH5,Chatham County Group Homes Nooe House B,223 E Watkins St,Siler City,NC,35.725448,-79.450521,,
R1054,R1054GH6,Chatham County Group Homes Perkins Place,400 Carolina Ave,Siler City,NC,35.7221005,-79.4760599,,
R1054,R1054GH7,Chatham County Group Homes Winfred West,506 W Fifth St,Siler City,NC,35.724826,-79.470603,,
R1054,R1054GH8,Chatham County Group Homes Griffin House,323 Martin Luther King Blvd,Siler City,NC,35.728334,-79.462354,,
R1056,R1056FP,Christ Community United,1082 Amelia Church Rd,Clayton,NC,35.6470269,-78.4898179,,
R1058,R1058FP,Christian Faith Ministries,3110 Cameron Dr,Sanford,NC,35.4439542,-79.1461017,,
R1059,R1059GH,Christian Life Home,Confidential,,NC,,,,
R1060,R1060FP,Christians United Outreach Ctr,2885 Lee Ave,Sanford,NC,35.4503726,-79.144568,,
R1061,R1061FP,Church Of God Of Prophecy,5005 Western Blvd,Raleigh,NC,35.7852858,-78.7206489,,
R1062,R1062FP,Church of God-Sermon del Monte,6105 Fayetteville Rd,Raleigh,NC,35.7269662,-78.6500037,,
R1066,R1066FP,Clayton Area Ministries,780 Durham St,Clayton,NC,35.639806,-78.4586405,,
R1068,R1068DD,Clinton (St. Stephens Church),207 W Lee St,Clinton,NC,35.0016808,-78.3325618,,
R1069,R1069FP,Coats Baptist Church,554 N McKinley St,Coats,NC,35.4160331,-78.6719199,,
R1070,R1070FP,Coats COGOP,7819 NC Hwy 27,Coats,NC,35.403068,-78.611037,,
R1073,R1073FP,Community Helpers Service,111-B N First Ave,Knightdale,NC,35.800385,-78.478226,,
R1074,R1074AS,Community of Hope Ministries,601 St Mary's St,Garner,NC,35.704103,-78.613901,,
R1075,R1075FP,Comunidad Cristiana Hosanna,204 Shelden Dr,Raleigh,NC,35.7417709,-78.6371808,,
R1076,R1076FP,Concerned Citizens Of Tillery,321 Community Center Rd,Tillery,NC,36.25656,-77.480784,,
R1078,R1078FP,Covenant Life Church,555 SW Maynard Rd.,Cary,NC,35.7715846,-78.7941314,,
R1079,R1079FP,Crabtree Valley Baptist Church,4408 Lead Mine Rd,Raleigh,NC,35.8400749,-78.6735081,,
R1103,R1103FP,Dorcas Ministries,187 High House Rd,Cary,NC,35.78335,-78.798658,,
R1107,R1107FB5,"Duplin Christian Outreach, Faith by Grace",2635 S NC Hwy 11 ,Rose Hill,NC,34.742058,-77.983605,,
R1107,R1107FP1,Duplin Christian Outreach,205 W Main Street,Wallace,NC,34.7343029,-77.9979131,,
R1107,R1107FP2,Duplin Christian Outreach(HQ site; no food stored),514 S Norwood St,Wallace,NC,34.7309833,-77.9913725,,
R1107,R1107FP3,Duplin Chrisitian Outreach,314 E Church St,Rose Hill,NC,34.8248633,-78.0239799,,
R1107,R1107FP6,Duplin Christian Outreach Ministries- Snow Hill ,"1224 Red Hill Rd Mt. Olive, NC 28366",Mt. Olive,NC,35.242771,-78.343716,,
R1107,R1107SOF,Duplin Chrisitian Outreach,2283 S NC 11 Hwy,Rose Hill,NC,34.844072,-77.956529,,
R1107,R1107SP,Spartans Table - Single Stop,Hwy 11 S,Kenansville,NC,33.921685,-78.171763,,
R1109,R1109FP,East Duplin Christian Outreach,111 W Quinn St,Beulaville,NC,34.9252812,-77.7734673,,
R1114,R1114FP1,Edgerton Memorial UMC,401 W Anderson St,Selma,NC,35.5373844,-78.2868644,,
R1117,R1117FP,Emmanuel Hispanic Pentecostal,4119 Rock Quarry Rd,Raleigh,NC,35.7440451,-78.5796559,,
R1117,R1117TF,Emmanuel Hispanic Pentecostal,5244 Holly Ridge Farm Rd,Raleigh,NC,35.8494656,-78.5417755,,
R1121,R1121FP,Faith In Action,100 Professional Ct Suite 104,Garner,NC,35.6080443,-78.5692325,,
R1122,R1122FP,Faith Missionary Baptist,908 Suffolk Blvd,Raleigh,NC,35.7450327,-78.6591247,,
R1123,R1123FP1,Faith Tabernacle Ministry,591 Guy Rd,Clayton,NC,35.6434831,-78.4867696,,
R1125,R1125OTH,Fathers Forever,3029 Stoneybrook Dr Ste 105,Raleigh,NC,35.8169497,-78.5926895,,
R1127,R1127GH,Fellowship Home of Raleigh,506 Cutler St,Raleigh,NC,35.7743432,-78.6521767,,
R1129,R1129FP,Fidelity Baptist Church ,PO Box 273,Littleton,NC,36.4348946,-77.9119615,,
R1130,R1130FP,First Assembly of God Church,3000 Summit Rd,Goldsboro,NC,35.375647,-77.938978,,
R1131,R1131FP,First Baptist Church of Smithfield,202 S Fourth St,Smithfield,NC,35.509359,-78.345405,,
R1133,R1133FP,First Cosmopolitan MBC,1515 Cross Link Rd,Raleigh,NC,35.7531073,-78.6158111,,
R1134,R1134FP,First Missionary,40 Durant Rd,Wilson's Mill,NC,35.577097,-78.347997,,
R1140,R1140GH,Flynn Home Of Goldsboro,409 N George St,Goldsboro,NC,35.3881666,-77.9985301,,
R1152,R1152GH,"Free Will Baptist Children's Home, Inc.",7907 Buck Deans Rd,Middlesex,NC,35.811094,-78.2079958,,
R1153,R1153DD,"Christ Christian Center Holy Church, Inc.",323 East 6th St,Castalia,NC,35.965398,-77.96483,,
R1156,R1156FP,Fuquay-Varina Emergency,216 W Academy St,Fuquay-Varina,NC,35.5844419,-78.8010678,,
R1161,R1161FP,Gibraltar the Remnant Church ,809 W Country Club Dr,Tarboro,NC,35.8963078,-77.546604,,
R1162,R1162FP,Glad Tiding Church Inc,323 E Broad St,Dunn,NC,35.3070166,-78.6079545,,
R1163,R1163FP,Glad Tidings Gospel Church,1205 Downing St ,Wilson,NC,35.7150738,-77.9253896,,
R1168,R1168FP,Good News Buenas Nuevas,2176-D US 70 A Hwy,Pine Level,NC,35.511224,-78.25712,,
R1168,R1168TF,Good News Buenas Nuevas,2176-D US 70 Alt.,Pine Level,NC,35.511224,-78.25712,,
R1170,R1170FP1,Greater Joy Missionary Baptist,820 Nashville Rd,Rocky Mount,NC,35.92911,-77.816614,,
R1170,R1170FP2,Greater Joy North,1711 E 10th St,Roanoke Rapids,NC,36.4395289,-77.643313,,
R1179,R1179FP,Harnett Food Pantry,413 W Old Rd,Lillington,NC,35.393562,-78.8241429,,
R1181,R1181FP1,Harvest Word Ministry,15199 NC 96,Zebulon,NC,35.8350654,-78.3217361,,
R1182,R1182SH,Haven House (Wrenn),908 W Morgan St,Raleigh,NC,35.7811527,-78.6556334,,
R1183,R1183SH1,Healing Transitions,1251 Goode St,Raleigh,NC,35.7644135,-78.659328,,
R1183,R1183SH2,Healing Transitions,3304 Glen Royal Rd,Raleigh,NC,35.8826282,-78.7490589,,
R1185,R1185FP,Hearts For Children Intl,14705 New Light Rd,Wake Forest,NC,36.0183902,-78.6554482,,
R1186,R1186FP1,Heavens Gate Ministry,9856 Hwy 210,Four Oaks,NC,35.509126,-78.518149,,
R1186,R1186FP2,Heavens Gate Ministry,5058 Hwy 701,Four Oaks,NC,35.375074,-78.366751,,
R1188,R1188FP,Highway Restoration Ministries,740 Vance St,Roanoke Rapids,NC,36.4626251,-77.6617188,,
R1193,R1193FP,Holly Springs Food Cupboard,621 W Holly Springs Rd,Holly Springs,NC,35.6555269,-78.8426276,,
R1195,R1195FP,House of Fordham/Goldsboro,412 N William St,Goldsboro,NC,35.3862941,-77.9917836,,
R1195,R1195SH,House of Fordham,500 N William St,Goldsboro,NC,35.387451,-77.991295,,
R1197,R1197FP,Iglesia Bethel,4191 Beulah Rd,Clinton,NC,34.924453,-78.33249,,
R1198,R1198FP,Iglesia De Dios Pentecostal,2331 New Bern Ave,Raleigh,NC,35.7798599,-78.5997866,,
R1199,R1199FP,Iglesia La Luz Del Evengelio,646 Oakwood Ave,Sanford,NC,35.484164,-79.1605399,,
R1200,R1200FP,Iglesia Pentecostal Jesucristo,1508 Bizzell Grove Church Rd,Selma,NC,35.543197,-78.179605,,
R1208,R1208FP,Jackson Grove Bible Church of God,66 Sinclair Lake Rd,Newton Grove,NC,35.15838,-78.468106,,
R1209,R1209GH,Jacob House/Rachel House,809 E Mulberry St,Goldsboro,NC,35.3812368,-77.9847497,,
R1211,R1211FP,Juniper Level,9104 Sauls Rd,Raleigh,NC,35.6311955,-78.6418855,,
R1212,R1212FP,Kenly Area Ministries,212 W 2nd St,Kenly,NC,35.5953424,-78.1241515,,
R1215,R1215FP,Lakeside Lutheran Church ,2427 Eaton Ferry Rd,Littleton,NC,36.532416,-77.941196,,
R1217,R1217FP,Lifeline Christian Center,2872 Old Franklin Rd,Spring Hope,NC,35.983743,-78.108779,,
R1218,R1218FP,Lifeline Outreach/Henderson,2014 Raleigh Rd,Henderson,NC,36.3214388,-78.4112634,,
R1219,R1219DD,Light House Community Center,504 Second St,Spring Hope,NC,35.946697,-78.104918,,
R1221,R1221FP,Loaves and Fishes Ministries,538 W Ridgeway St,Warrenton,NC,36.4048391,-78.1620883,,
R1227,R1227FP,Macedonia New Life,2004 Rock Quarry Rd,Raleigh,NC,35.7535909,-78.6126882,,
R1232,R1232FP,Milagros y Maravillas de Dios,711 W Noble St,Selma,NC,35.537295,-78.2915601,,
R1233,R1233FP,Millbrook United Methodist,1712 E Millbrook Rd,Raleigh,NC,35.8500587,-78.607452,,
R1234,R1234FP,Ministerios Bethel Inc,622 Bragg St,Sanford,NC,35.4801566,-79.1582215,,
R1240,R1240FP,Mt. Zion Community Church,250 Lanefield Rd,Warsaw,NC,34.996343,-78.075956,,
R1240,R1240FP2,Garland Christian Ministries,131 Rich Rd,Garland,NC,34.7832264,-78.3994469,,
R1242,R1242FP,My Father's House,545 Richardson Rd,Enfield,NC,36.236316,-77.873599,,
R1244,R1244FP,N.C.A. Philip Randolph Inst.,1408 Hillsborough St,Raleigh,NC,35.7840819,-78.6569706,,
R1246,R1246FP1,NC Love In Action (LIA),238 South Tarboro St,Wilson,NC,35.726916,-77.909396,,
R1249,R1249FP,Nelson Chapel Baptist Church,100 Leonard Farm Rd,Louisburg,NC,36.08092,-78.242206,,
R1251,R1251FP,New Bethel Baptist Church,605 E Young St,Rolesville,NC,35.9173222,-78.452307,,
R1252,R1252FP,New Bethel Christian Church,4307 Old Poole Rd,Raleigh,NC,35.765574,-78.568703,,
R1253,R1253FP,New Birth Holiness Church,409 Dr Donnie Jones Jr Blvd W,Princeton,NC,35.92628,-78.513761,,
R1258,R1258FP,New Freedom Christian,3540 Maitland Dr Ste 105,Raleigh,NC,35.7970128,-78.583981,,
R1258,R1258TF,New Freedom Christian,3540 Maitland Dr. Suite 105,Raleigh,NC,35.7970128,-78.583981,,
R1260,R1260FP,New Life Deliverance Ministry,103 E Main St,Benson,NC,35.3808813,-78.5471562,,
R1261,R1261FP,New Life Fellowship Church,4714 Olivia Rd,Sanford,NC,35.357719,-79.127804,,
R1262,R1262FP,New Life Outreach Ministry,128 Savage St,Franklinton,NC,36.0981254,-78.4559658,,
R1263,R1263FP,New Providence Missionary,4813 Hilltop Needmore Rd,Fuquay-Varina,NC,35.6317667,-78.7446207,,
R1263,R1263TF,New Providence Missionary,4813 Hilltop Needmore Road,Fuquay-Varina,NC,35.6317667,-78.7446207,,
R1265,R1265FP,New Vision Christian Church,2102 Hobbton Hwy,Clinton,NC,35.0319483,-78.3271699,,
R1266,R1266FP,North Carolina Poverty,106 S Goldsboro St ,Fremont,NC,35.543672,-77.9750908,,
R1266,R1266TF,North Carolina Poverty,106 S Goldsboro St,Fremont,NC,35.543672,-77.9750908,,
R1267,R1267FP,North Haven Ministries Inc,6620 Six Forks Rd,Raleigh,NC,35.8712017,-78.6407859,,
R1270,R1270FP,Oak Level Christian Church,2279 Cedar Creek Rd,Youngsville,NC,36.034909,-78.454382,,
R1277,R1277FP,Open Door Baptist Church,9801 Durant Rd,Raleigh,NC,35.8999761,-78.5764474,,
R1281,R1281FP,Our Lady of Perpetual Church,328 Hammond St,Rocky Mount,NC,35.9392277,-77.8006936,,
R1282,R1282SOF,Parkview Manor,911 N Blount St,Raleigh,NC,35.7914812,-78.6359022,,
R1287,R1287FP,Pete Norris Ministries Inc,126 W Walnut St,Goldsboro,NC,35.3831654,-77.997696,,
R1288,R1288FP,Pleasant Grove Missionary,948 Morphus Bridge Rd,Wendell,NC,35.780808,-78.350441,,
R1289,R1289FP1,Pleasant Union Christian,2164 Neills Creek Rd,Lillington,NC,35.4388597,-78.7747923,,
R1290,R1290FP,Poplar Springs Christian,6115 Old Stage Rd,Raleigh,NC,35.696061,-78.653074,,
R1291,R1291GH,Potter's Wheel Ministries,147 Faith Ln,Mt. Olive,NC,35.072602,-77.919863,,
R1292,R1292FP,Power of Praise Tabernacle,1100 S Market St,Benson,NC,35.3715517,-78.5540386,,
R1294,R1294FP,Progressive Teamwork Outreach,1300 Mack Todd Rd,Zebulon,NC,35.8080682,-78.3351355,,
R1298,R1298FP,Raleigh Church of Christ,911 Barringer Dr,Raleigh,NC,35.775499,-78.723314,,
R1299,R1299MFP,Raleigh Dream Center,4301 Louisburg Rd,Raleigh,NC,35.842029,-78.575945,,
R1301,R1301GH,"Raleigh Housing Fund, Inc",10 N East St,Raleigh,NC,35.7806595,-78.6320275,,
R1306,R1306DC,Rebuilding Broken Places,2105 N William St,Goldsboro,NC,35.407633,-77.9830463,,
R1308,R1308FP,Recruiters for Christ Church,931 Red Hill Church Rd,Dunn,NC,35.337985,-78.649007,,
R1311,R1311FP,Renewal Place,106 Norwayne Alumni Way,Fremont,NC,35.54544,-77.97471,,
R1314,R1314SON3,Resources For Seniors - Departure Drive,5124 Departure Dr,Raleigh,NC,35.8522791,-78.5956718,,
R1315,R1315FP,Revelation Missionary,805 E Davie St,Raleigh,NC,35.775337,-78.6261665,,
R1316,R1316FP,Revival Deliverance Ctr Inc,101 E Pinewood St,Roseboro,NC,34.9474964,-78.5080098,,
R1318,R1318FP,Richland Creek Community,3229 Burlington Mills Rd,Wake Forest,NC,35.920139,-78.52198,,
R1323,R1323FP,Rock Ministry Inc,PO Box 141 ,Garland,NC,34.785863,-78.3952895,,
R1331,R1331FP,Salvation Army-Raleigh,1863 Capital Blvd,Raleigh,NC,35.8039483,-78.6182339,,
R1332,R1332FP,Salvation Army-Rocky Mount,1000 Hunter Hill Road ,Rocky Mount,NC,35.970213,-77.817369,,
R1333,R1333FP,Salvation Army-Smithfield,306 N Brightleaf Blvd,Smithfield,NC,35.511018,-78.3379162,,
R1334,R1334FP,Samaritan's Shelf,143 Short Johnson Rd,Clayton,NC,35.6335313,-78.4921341,,
R1338,R1338FP1,Save the Family Church,5740 Aldridge Store Rd,Lagrange,NC,35.391263,-77.916204,,
R1348,R1348FP,Shiloh Christian Food Pantry,211 Durham St,Smithfield,NC,35.5055787,-78.3360179,,
R1348,R1348TF,Shiloh Christian,211 Durham Rd,Smithfield,NC,35.505669,-78.335972,,
R1349,R1349FP,Showers of Blessing Community,9759-B Cleveland Rd,Clayton,NC,35.578624,-78.460593,,
R1355,R1355FP,ST. ANN CATHOLIC CHURCH,4057 US 70 BUS,Clayton,NC,35.6424298,-78.4519522,,
R1356,R1356FP,St. Anna Freewill Baptist,11705 Old Stage Rd,Willow Springs,NC,35.593469,-78.690445,,
R1359,R1359FP,St. James Missionary Baptist,527 E Thomas St,Rocky Mount,NC,35.9424108,-77.7884303,,
R1359,R1359TF,St. James Missionary Baptist,527 East Thomas St,Rocky Mount,NC,35.9424108,-77.7884303,,
R1360,R1360FP1,St. Mark Church of Christ,700 W Ash St,Goldsboro,NC,35.3878,-78.0064,,
R1361,R1361FP,St. Mary A.M.E. Church,600 S Salem St,Apex,NC,35.724475,-78.856192,,
R1362,R1362FP,St. Paul Missionary Baptist,1151 Winstead Ave,Rocky Mount,NC,35.9835466,-77.8390012,,
R1364,R1364FP,State St. Community Church,1200 S State St,Raleigh,NC,35.764721,-78.624737,,
R1365,R1365FP,The Stone Chapel,701 S Main St,Wake Forest,NC,35.9725501,-78.5151949,,
R1367,R1367DC,Sure Promise Chritian Church,4301 Pearl Rd,Raleigh,NC,35.722104,-78.556732,,
R1369,R1369FP,Tar River Baptist Association,92 NC 56 Hwy E,Louisburg,NC,36.102478,-78.458983,,
R1370,R1370FP,Temple Emmanuel Gospel Truth,9 East 8th St,Weldon,NC,36.4220232,-77.599081,,
R1377,R1377FP,The Light of Life Ministry,517 Plaza Cir,Garner,NC,35.7041675,-78.6123506,,
R1378,R1378SK,The Original Tabernacle of Prayer,1005 S John St,Goldsboro,NC,35.3699123,-78.0007929,,
R1379,R1379FP1,The Point Care Center,1503 Walnut St,Cary,NC,35.7653484,-78.7510907,,
R1379,R1379FP3,The Point Care Center,3700 Lake Wheeler Rd,Raleigh,NC,35.7305089,-78.6833344,,
R1379,R1379FP4,The Point Care Center,304 Raleigh St,Holly Springs,NC,35.6510768,-78.8324532,,
R1380,R1380FP1,The Rising Sun Church of Christ,2021 US Hwy 401 S,Lillington,NC,35.368068,-78.80834,,
R1381,R1381FP,The Ship Outreach & Comm Cntr,105 E Lee St,Raleigh,NC,35.767223,-78.6383745,,
R1384,R1384FP,Tri-Area Ministry,149 East Holding Ave,Wake Forest,NC,35.9720918,-78.5133344,,
R1386,R1386FP,Truth Foundational Ministries,312 N Second St,Pinetops,NC,35.793655,-77.634678,,
R1389,R1389FP,TWFC Food-4-Life,296 Buck Swap Rd,Goldsboro,NC,35.411884,-78.783666,,
R1390,R1390FP,UMOJA Central SDA Church,314 Bashford Rd,Raleigh,NC,35.7823521,-78.7388891,,
R1391,R1391FP,United Community Ministries,341 McDonald St,Rocky Mount,NC,35.57489,-77.274602,,
R1393,R1393FP,United Solid Rock Faith,1020 US Hwy 158 W Business,Warrenton,NC,36.425253,-78.177319,,
R1395,R1395FP,Upper Room Church of God,3300 Idlewood Village Dr,Raleigh,NC,35.736222,-78.616961,,
R1396,R1396FP,Urban Ministries of Wake County,1390 Capital Blvd,Raleigh,NC,35.7999671,-78.6343149,,
R1397,R1397FP,Vaughn's Chapel MB Church,4966 S Elm City Rd,Elm City,NC,35.786465,-77.860688,,
R1399,R1399FP,Victory Gospel Chapel,1118 S East St,Raleigh,NC,35.7662999,-78.633016,,
R1402,R1402FP,Wake Chapel Church,3805 Tarheel Club Rd,Raleigh,NC,35.828274,-78.517983,,
R1406,R1406FP,Wallace Church of God,1173 Bay Rd,Teachey,NC,34.78201,-77.995109,,
R1410,R1410FP,Warsaw Baptist Church,209 E College St,Warsaw,NC,35.0004128,-78.0893779,,
R1416,R1416FP,Wendell United Methodist,129 N Main St,Wendell,NC,35.7832465,-78.369878,,
R1418,R1418FP,Western Wake Crisis Ministry,1600 Olive Chapel Rd. Suite 408,Apex,NC,35.7368563,-78.8897646,,
R1419,R1419FP,White Oak Foundation,1621 White Oak Church Rd,Apex,NC,35.779327,-78.919221,,
R1422,R1422FP,With Love From Jesus Ministry,421 Chapanoke Rd,Raleigh,NC,35.7359833,-78.6446309,,
R1423,R1423FP,Woods Chapel UAFWB Church,928 E New Hope Rd,Goldsboro,NC,35.381908,-77.888955,,
R1424,R1424FP,Word of Faith Ministries Food,1288 NC Hwy 11 903 N,Kenansville,NC,34.957555,-77.970156,,
R1425,R1425AS,Word of God Fellowship,3000 Rock Quarry Rd,Raleigh,NC,35.747316,-78.597078,,
R1427,R1427FP,Zebulon United Methodist,114 W Sycamore St,Zebulon,NC,35.8231011,-78.3143042,,
R1428,R1428FP,Zina Christian Center,1708 Trawick Rd. Ste 105A,Raleigh,NC,35.79913,-78.5776552,,
R1492,R1492OTH,Rex Hospital,4420 Lake Boone Trl,Raleigh,NC,35.8155481,-78.7029583,,
R1493,R1493FP,Our Lady of the Rosary Food Pantry,947 North Main St,Louisburg,NC,36.1156421,-78.2947569,,
R1503,R1503FP,Solid Rock Ministry International Inc.,502 Creech Rd,Garner,NC,35.7160144,-78.6022552,,
R1503,R1503TF,Solid Rock Ministry International Inc.,401 Creech Road,Garner,NC,35.71358,-78.602612,,
R1505,R1505FP,Christian Life Fellowship Food Pantry,3209 Gresham Lake Rd Ste 136,Raleigh,NC,35.8848681,-78.582277,,
